Timestamp,Symbol,Side,Volume,EntryPrice,ExitPrice,PnL,Reason
2026-03-06 15:35:06,CASH3,SELL,5500.0,3.34,3.35,0.0,Day-Only Close
2026-03-06 15:35:07,SHUL4,SELL,3100.0,5.25,5.27,0.0,Day-Only Close
2026-03-06 15:35:07,HAPV3,SELL,1900.0,9.63,9.63,19.0,Day-Only Close
2026-03-06 15:35:08,GGBR4,SELL,900.0,18.98,18.98,9.0,Day-Only Close
2026-03-06 15:35:08,QUAL3,SELL,9300.0,1.99,2.0,0.0,Day-Only Close
2026-03-06 15:35:09,DIRR3,SELL,1200.0,14.94,14.97,-36.0,Day-Only Close
2026-03-06 15:35:10,AURE3,SELL,1600.0,11.61,11.58,64.0,Day-Only Close
2026-03-06 15:35:10,LEVE3,SELL,400.0,34.91,34.86,28.0,Day-Only Close
2026-03-06 15:35:11,SUZB3,SELL,300.0,54.91,54.91,0.0,Day-Only Close
2026-03-06 15:39:23,PSSA3,SELL,300.0,49.0,48.98,9.0,Day-Only Close
2026-03-06 15:39:24,GGBR4,SELL,900.0,18.95,18.96,0.0,Day-Only Close
2026-03-06 15:39:25,GFSA3,SELL,8700.0,1.92,1.9300000000000002,0.0,Day-Only Close
2026-03-06 15:39:26,SUZB3,SELL,300.0,54.9,54.99,-27.0,Day-Only Close
2026-03-06 15:39:26,AMER3,SELL,3300.0,5.01,5.0,66.0,Day-Only Close
2026-03-06 15:39:27,DEXP3,SELL,2200.0,7.33,7.34,0.0,Day-Only Close
2026-03-06 15:39:27,MATD3,SELL,2800.0,5.91,5.92,0.0,Day-Only Close
2026-03-06 15:39:28,MYPK3,SELL,1900.0,9.54,9.55,-19.0,Day-Only Close
2026-03-06 15:39:29,KEPL3,SELL,2200.0,8.13,8.2,-132.0,Day-Only Close
2026-03-06 15:39:30,FIQE3,SELL,3100.0,5.29,5.3,-31.0,Day-Only Close
2026-03-06 15:39:44,VVEO3,SELL,13500.0,1.24,1.25,-135.0,Day-Only Close
