symbol,status,reason,timestamp
STBP3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:26.993712
SUZB3,ERROR,'volume',2026-01-08T23:30:27.023135
TAEE11,ERROR,'volume',2026-01-08T23:30:27.055235
TASA4,ERROR,'volume',2026-01-08T23:30:27.085632
TELB4,ERROR,'volume',2026-01-08T23:30:27.100760
TEND3,ERROR,'volume',2026-01-08T23:30:27.138668
TIMS3,ERROR,'volume',2026-01-08T23:30:27.169369
TOTS3,ERROR,'volume',2026-01-08T23:30:27.199205
TRAD3,ERROR,'volume',2026-01-08T23:30:27.214905
TRPL4,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:27.216194
TUPY3,ERROR,'volume',2026-01-08T23:30:27.248323
TUTI3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:27.249758
UGPA3,ERROR,'volume',2026-01-08T23:30:27.278836
UNIP6,ERROR,'volume',2026-01-08T23:30:27.311464
USIM3,ERROR,'volume',2026-01-08T23:30:27.343190
USIM5,ERROR,'volume',2026-01-08T23:30:27.375965
VALE3,ERROR,'volume',2026-01-08T23:30:27.409889
VAMO3,ERROR,'volume',2026-01-08T23:30:27.442505
VBBR3,ERROR,'volume',2026-01-08T23:30:27.472211
VIIA3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:27.473410
VISC11,ERROR,'volume',2026-01-08T23:30:27.503897
VIVA3,ERROR,'volume',2026-01-08T23:30:27.536580
VIVT3,ERROR,'volume',2026-01-08T23:30:27.574214
VLID3,ERROR,'volume',2026-01-08T23:30:27.599587
VVEO3,ERROR,'volume',2026-01-08T23:30:27.632416
WEGE3,ERROR,'volume',2026-01-08T23:30:27.668316
WIZC3,ERROR,'volume',2026-01-08T23:30:27.695757
XPLG11,ERROR,'volume',2026-01-08T23:30:27.729404
YDUQ3,ERROR,'volume',2026-01-08T23:30:27.760147
ZAMP3,DATA_ERROR,Falha ao carregar dados,2026-01-08T23:30:27.761076
