symbol,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
TOTS3,,125590102.215,0.2720103097026729,0.5015803615682356,0.5015803615682356,25321539584.0,0.5185185185185185,0.5740740740740741,0.5,0.5,0.5212962962962963,24,B
VBBR3,,219271234.30500004,0.25523327806973445,0.6328859876490274,0.6328859876490274,30564724736.0,0.37037037037037035,0.6296296296296297,0.46296296296296297,0.7222222222222222,0.5157407407407407,25,C
USIM5,,56025921.785000004,0.39071456310174785,0.33711409039475965,0.33711409039475965,7902652416.0,0.7037037037037037,0.3148148148148148,0.6296296296296297,0.24074074074074073,0.5148148148148148,26,C
ENEV3,,223326992.43750003,0.24590499672757524,0.6411394246550437,0.6411394246550437,39465570304.0,0.35185185185185186,0.6481481481481481,0.4074074074074074,0.7777777777777778,0.5101851851851852,27,C
ITSA4,,294267825.0675,0.1966993188207095,0.8554355830247773,0.8554355830247773,135956004864.0,0.25925925925925924,0.9074074074074074,0.14814814814814814,0.9814814814814815,0.5055555555555555,28,C
VIVT3,,129316366.08000001,0.21559613920074364,0.5285535671410724,0.5285535671410724,106062880768.0,0.5,0.7962962962962963,0.2037037037037037,0.5740740740740741,0.5,29,C
MGLU3,,142440028.77,0.5571013938128303,0.54456086580329,0.54456086580329,7182311424.0,0.48148148148148145,0.1111111111111111,0.7037037037037037,0.5925925925925926,0.4851851851851852,30,C
LREN3,,227141677.4725,0.36318340080298694,0.6372665915113427,0.6372665915113427,13092715520.0,0.3333333333333333,0.3888888888888889,0.5555555555555556,0.7592592592592593,0.48518518518518516,31,C
GGBR4,,181324626.545,0.2195128702649207,0.4386512813767289,0.4386512813767289,43532173312.0,0.42592592592592593,0.7777777777777778,0.37037037037037035,0.42592592592592593,0.48240740740740734,32,C
BBSE3,,215296291.24,0.1532896315643996,0.4270386794176928,0.4270386794176928,68175462400.0,0.3888888888888889,1.0,0.2777777777777778,0.37037037037037035,0.47962962962962963,33,C
CSNA3,,87592730.4,0.4152165659394532,0.3865155098491943,0.3865155098491943,12611153920.0,0.6111111111111112,0.2777777777777778,0.5740740740740741,0.3148148148148148,0.475925925925926,34,C
TIMS3,,161065435.96,0.20838919569682463,0.41481586592251674,0.41481586592251674,54652731392.0,0.4444444444444444,0.8333333333333334,0.3148148148148148,0.3333333333333333,0.46759259259259256,35,C
KLBN11,,100360854.94500001,0.18945372521943238,0.221533123834728,0.221533123834728,132243808256.0,0.5740740740740741,0.9444444444444444,0.16666666666666666,0.1111111111111111,0.4537037037037037,36,C
RENT3,,328673895.93,0.3185563477870126,0.7917082872640059,0.7917082872640059,44678504448.0,0.2222222222222222,0.46296296296296297,0.35185185185185186,0.9074074074074074,0.43981481481481477,37,C
RDOR3,,243862367.43750003,0.27950854271455355,0.6300774811235531,0.6300774811235531,88808005632.0,0.3148148148148148,0.5185185185185185,0.24074074074074073,0.7037037037037037,0.41481481481481486,38,C
ITUB4,BANCOS,732216442.4750001,0.18998941259086452,0.8562278410740507,0.8562278410740507,437312356352.0,0.05555555555555555,0.9259259259259259,0.018518518518518517,1.0,0.40925925925925927,39,D
HAPV3,,111523878.84,0.7462705647712242,0.3059854314756724,0.3059854314756724,7211085312.0,0.5370370370370371,0.037037037037037035,0.6851851851851852,0.2037037037037037,0.40740740740740744,40,D
RAIL3,,276362862.3,0.3480523675565953,0.46645505164817647,0.46645505164817647,25238691840.0,0.2777777777777778,0.4074074074074074,0.5185185185185185,0.46296296296296297,0.40092592592592596,41,D
AURA33,,69635115.70087501,0.4880879902923411,0.05689552751983074,0.05689552751983074,27092271104.0,0.6296296296296297,0.16666666666666666,0.48148148148148145,0.037037037037037035,0.3814814814814815,42,D
BBDC4,BANCOS,493935584.72499985,0.23302512616331544,0.7850135103673879,0.7850135103673879,199905509376.0,0.09259259259259259,0.7222222222222222,0.09259259259259259,0.8888888888888888,0.37777777777777777,43,D
SBSP3,,469176120.7125,0.2713172944961507,0.6504687914560192,0.6504687914560192,90628653056.0,0.1111111111111111,0.5925925925925926,0.2222222222222222,0.8148148148148148,0.37592592592592594,44,D
RADL3,,184322949.3375,0.4309464800610215,0.4349283059375325,0.4349283059375325,42116014080.0,0.4074074074074074,0.24074074074074073,0.3888888888888889,0.4074074074074074,0.3694444444444444,45,D
B3SA3,CORRETORAS,569302185.5150001,0.29726555168045443,0.7661307921254287,0.7661307921254287,72823595008.0,0.07407407407407407,0.48148148148148145,0.25925925925925924,0.8703703703703703,0.3611111111111111,46,D
BPAC11,CORRETORAS,335096175.05,0.3302677339933438,0.7605930579742672,0.7605930579742672,180740521984.0,0.18518518518518517,0.4444444444444444,0.12962962962962962,0.8518518518518519,0.3564814814814815,47,D
BBAS3,BANCOS,449791443.28999996,0.2858455965155945,0.6455076144638412,0.6455076144638412,123472478208.0,0.12962962962962962,0.5,0.18518518518518517,0.7962962962962963,0.3509259259259259,48,D
PRIO3,,380938799.60249996,0.23901108867789483,0.3028296082883377,0.3028296082883377,34658582528.0,0.14814814814814814,0.7037037037037037,0.4444444444444444,0.18518518518518517,0.34074074074074073,49,D
SUZB3,,332630603.4025,0.214814224948936,0.0589587000333559,0.0589587000333559,63772889088.0,0.2037037037037037,0.8148148148148148,0.2962962962962963,0.05555555555555555,0.3194444444444445,50,D
ABEV3,,365277867.5,0.20256692728683867,0.4256381642173374,0.4256381642173374,220193013760.0,0.16666666666666666,0.8518518518518519,0.07407407407407407,0.35185185185185186,0.3175925925925926,51,D
PETR4,,1087212949.96,0.2010123965519548,0.4538822359303427,0.4538822359303427,427179900928.0,0.037037037037037035,0.8703703703703703,0.037037037037037035,0.4444444444444444,0.2851851851851852,52,D
VALE3,,1947658975.86,0.17789100660644067,0.3644645128181709,0.3644645128181709,336721346560.0,0.018518518518518517,0.9814814814814815,0.05555555555555555,0.2777777777777778,0.27222222222222225,53,D
WEGE3,,301011462.51000005,0.2752506917249384,0.1817572874467302,0.1817572874467302,194344632320.0,0.24074074074074073,0.5555555555555556,0.1111111111111111,0.09259259259259259,0.24166666666666667,54,D
