symbol,data_source,setor,subsetor,avg_fin_volume,volatility_ann,corr_ibov,abs_corr_ibov,market_cap,score_liquidity,score_volatility,score_market_cap,score_corr_diversification,score_total,rank_total,tier
COGN3,yahoo,CONSUMO CÍCLICO,,97622197.56435433,0.47495438840154025,0.44160820429038333,0.44160820429038333,7323808768.0,0.6,0.23636363636363636,0.6545454545454545,0.41818181818181815,0.5045454545454545,25,B
USIM5,yahoo,MATERIAIS BÁSICOS,,57055767.43716097,0.38933186530472785,0.24741496026032123,0.24741496026032123,7902652416.0,0.7090909090909091,0.34545454545454546,0.6181818181818182,0.16363636363636364,0.5045454545454545,25,B
MGLU3,yahoo,CONSUMO CÍCLICO,,143780308.53139806,0.5449797205653355,0.5565511113988612,0.5565511113988612,6881353728.0,0.4909090909090909,0.18181818181818182,0.6727272727272727,0.6363636363636364,0.5036363636363637,27,C
ENEV3,yahoo,ENERGIA,,235774164.1231041,0.2752105698341029,0.6950674367116857,0.6950674367116857,39465570304.0,0.32727272727272727,0.6,0.4,0.8363636363636363,0.5018181818181818,28,C
RADL3,yahoo,SAÚDE,,184043027.09653366,0.29659064083602127,0.6378469188464773,0.6378469188464773,44733452288.0,0.41818181818181815,0.5636363636363636,0.34545454545454546,0.7818181818181819,0.5018181818181817,29,C
LREN3,yahoo,CONSUMO CÍCLICO,,214587937.88731766,0.3656485065485584,0.5997431594433712,0.5997431594433712,13092715520.0,0.38181818181818183,0.41818181818181815,0.5454545454545454,0.7090909090909091,0.4954545454545455,30,C
VIVT3,yahoo,COMUNICAÇÕES,,135628755.17694664,0.2665315294961989,0.5936920440701902,0.5936920440701902,103761338368.0,0.509090909090909,0.6363636363636364,0.2,0.6909090909090909,0.4936363636363636,31,C
TIMS3,yahoo,COMUNICAÇÕES,,164551044.58270454,0.26110377805928997,0.48439345468274303,0.48439345468274303,54652731392.0,0.4727272727272727,0.6727272727272727,0.3090909090909091,0.509090909090909,0.47909090909090907,32,C
BBSE3,yahoo,SEGUROS,,220661348.4682598,0.17105815132709448,0.44427949142445683,0.44427949142445683,68175462400.0,0.34545454545454546,1.0,0.2727272727272727,0.43636363636363634,0.4763636363636364,33,C
CSNA3,yahoo,MATERIAIS BÁSICOS,,95239694.30346346,0.4076019615172943,0.2618691788196603,0.2618691788196603,12611153920.0,0.6181818181818182,0.3090909090909091,0.5636363636363636,0.18181818181818182,0.45545454545454545,34,C
CYRE3,yahoo,CONSUMO CÍCLICO,,173763741.159945,0.5651945884810841,0.5396359575018446,0.5396359575018446,9047880704.0,0.45454545454545453,0.14545454545454545,0.5818181818181818,0.5818181818181818,0.44999999999999996,35,C
RAIL3,yahoo,INDUSTRIAL,,207477876.15709305,0.3836653282902271,0.5059065935086434,0.5059065935086434,25238691840.0,0.4,0.38181818181818183,0.509090909090909,0.5272727272727272,0.4490909090909091,36,C
